Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2018-12-19,9.3,0.9,16.0,253.8,16.2,0.0,67.2,10.5,55.0,12
2018-12-25,4.6,2.4,16.0,309.2,20.6,0.0,66.7,40.7,54.8,12
2018-12-28,10.0,10.6,7.4,188.7,24.6,22.605,10.9,99.9,90.3,12
2018-12-31,13.3,4.5,12.6,145.5,17.5,19.307,172.5,74.5,83.1,12
2019-01-03,8.5,4.8,15.8,299.9,31.3,0.0,44.5,68.9,65.6,1
2019-01-06,5.9,5.3,15.9,311.3,46.8,0.0,36.4,50.9,57.6,1
2019-01-09,2.7,5.3,14.9,286.4,35.1,3.735,53.4,67.1,58.1,1
2019-01-12,3.6,-2.8,16.0,328.8,21.9,0.0,60.2,57.3,43.5,1
2019-01-15,11.8,-1.5,16.0,7.9,18.4,0.0,82.1,9.4,53.7,1
2019-01-27,7.1,4.2,16.0,217.6,33.3,0.0,74.8,51.9,55.2,1
2019-01-30,7.9,-5.4,15.2,272.1,40.1,0.257,94.5,25.2,50.1,1
2019-02-02,19.1,-3.7,15.8,246.6,27.2,0.0,102.3,22.8,50.1,2
2019-02-05,14.8,10.4,15.4,285.3,17.0,0.0,94.0,31.9,66.0,2
2019-02-08,5.3,6.5,12.8,265.7,39.1,8.961,65.9,56.8,67.5,2
2019-02-11,9.3,1.1,15.9,10.0,17.7,0.0,51.0,84.2,52.7,2
2019-02-14,7.1,3.7,16.0,270.9,25.2,0.0,127.0,44.5,47.4,2
2019-02-17,5.1,-0.1,15.9,355.8,19.5,0.781,127.7,30.3,54.4,2
2019-02-20,8.9,-2.0,9.0,58.0,18.8,11.363,21.1,67.2,65.9,2
2019-02-23,8.5,2.6,16.0,66.2,21.2,0.0,81.4,32.4,62.1,2
2019-02-26,3.5,-1.4,16.0,314.1,30.5,0.0,144.9,14.9,39.0,2
2019-12-02,2.1,1.4,6.7,7.5,26.2,12.021,7.4,95.6,87.7,12
2019-12-05,4.6,3.6,15.7,281.6,30.4,0.0,53.4,64.8,61.7,12
2019-12-08,4.6,1.5,16.0,167.7,18.0,0.0,63.6,13.3,58.1,12
2019-12-11,4.6,1.8,13.1,285.6,26.2,7.297,22.7,61.7,73.6,12
2019-12-14,4.5,10.3,7.4,287.2,27.7,31.095,70.8,89.9,91.7,12
2019-12-17,6.3,0.7,9.3,31.2,20.7,23.761,7.6,94.8,88.7,12
2019-12-20,4.9,-2.9,16.0,316.6,18.2,0.0,65.5,23.2,54.1,12
2019-12-23,19.9,7.0,15.6,218.6,18.4,0.0,61.9,7.5,51.7,12
2019-12-26,16.2,4.0,13.4,43.3,15.1,0.0,42.4,65.3,82.2,12
2019-12-29,13.1,4.3,12.7,53.3,13.6,5.928,33.6,63.1,70.4,12
2020-01-01,2.3,3.4,16.0,273.4,24.8,0.0,33.2,80.9,52.0,1
