Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2017-03-23,4.6,0.2,16.0,315.4,22.1,0.0,265.9,1.8,31.2,3
2017-03-26,8.2,4.7,14.0,65.6,23.7,1.686,55.7,92.3,77.6,3
2017-03-29,2.7,9.7,15.4,344.1,26.1,0.0,268.5,48.8,60.4,3
2017-04-01,1.4,5.5,12.8,18.3,35.4,1.097,142.4,93.2,76.2,4
2017-04-04,6.3,9.5,8.1,84.6,17.9,34.955,109.3,97.4,90.2,4
2017-04-07,1.6,7.9,16.0,260.5,28.5,0.0,181.3,68.8,63.3,4
2017-04-13,3.1,13.7,16.0,330.7,21.4,0.0,268.4,13.3,39.8,4
2017-04-16,8.5,22.2,15.7,249.3,27.7,0.0,261.2,32.7,59.2,4
2017-04-19,5.2,9.5,16.0,149.1,22.8,0.0,254.6,74.2,68.2,4
2017-04-22,3.3,11.6,13.5,24.7,13.8,2.38,124.7,88.7,82.0,4
2017-04-25,3.1,11.6,10.6,64.7,33.2,20.634,128.8,95.1,88.5,4
2017-04-28,10.2,21.0,9.6,223.0,19.9,0.142,297.0,49.1,64.5,4
2017-05-01,11.6,15.1,10.8,101.5,19.1,0.0,284.9,67.6,79.0,5
2017-05-04,4.5,12.7,16.0,125.9,23.0,0.0,269.1,17.0,46.4,5
2017-05-10,5.8,13.1,16.0,51.0,13.2,0.0,270.3,46.9,53.3,5
2017-05-13,3.0,10.0,9.4,66.7,24.0,39.408,82.1,92.9,87.2,5
2017-05-16,6.0,19.8,16.0,301.6,18.1,0.0,287.3,12.0,45.9,5
2017-05-19,11.5,28.4,16.0,272.8,24.1,0.0,266.9,19.0,50.9,5
2017-05-22,5.3,14.4,9.4,141.7,14.8,13.69,119.2,96.3,87.3,5
2017-05-25,3.3,14.1,7.5,72.4,21.4,12.325,101.2,90.3,91.6,5
2017-05-28,10.5,17.9,14.2,136.4,19.5,0.0,219.0,41.8,73.1,5
2017-05-31,6.6,18.5,10.0,129.6,15.0,4.52,240.1,65.7,83.1,5
2018-03-03,2.7,5.2,16.0,352.7,35.9,0.0,129.2,73.4,59.4,3
2018-03-06,6.0,3.9,16.0,123.1,23.4,0.0,170.7,33.3,58.7,3
2018-03-09,4.8,2.1,16.0,267.1,28.9,0.0,127.1,71.4,56.7,3
2018-03-12,4.3,3.1,15.6,47.7,24.7,0.511,103.6,41.7,62.3,3
2018-03-15,6.7,3.5,16.0,277.6,29.5,0.0,188.4,51.2,50.8,3
2018-03-18,2.9,2.3,16.0,329.4,26.2,0.0,203.0,1.9,31.4,3
2018-03-21,4.1,1.2,6.0,32.3,32.7,19.211,12.0,100.0,73.0,3
2018-03-24,2.8,5.8,16.0,325.6,19.6,0.0,219.2,31.3,39.5,3
2018-03-27,8.0,4.1,16.0,187.4,16.2,0.0,115.0,33.5,51.7,3
2018-03-30,12.5,10.8,10.4,338.4,26.8,0.764,147.9,84.4,77.7,3
